,high_formula,high_mpid,low_formula,low_mpid,average_voltage,battery_id,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume
77,LiV5O10,mp-762390,Li2V5O10,mp-762287,2.8250097600000195,mp-762265_Li,238.55001079200824,936.6093350702924,611.9571256124561,2402.702706272993,0.0016416835077395
78,LiV(OF)2,mp-765509,Li2V(OF)2,mp-764272,3.7179605875,mp-764272_Li,198.79586856725865,589.6326291782583,739.1152042908976,2192.230876388767,0.0242605133449336
79,FeP2O7,mp-697733,Li2FeP2O7,mp-697811,4.101128232500001,mp-697733_Li,219.98149726471948,637.8347767801442,902.1723290599627,2615.842210723385,0.0264905793811842
80,FeP2O7,mp-540323,LiFeP2O7,mp-1101512,5.05220145750001,mp-1101512_Li,113.2157220887838,331.53286860131504,571.9886361488695,1674.970841956723,0.0146608072207001
81,Mn2OF3,mp-765034,LiMn2OF3,mp-767188,2.973424497499996,mp-765034_Li,141.20036548184228,506.1949646109026,419.84862577966265,1505.1325082852013,0.1466280850159798
82,Mn2OF3,mp-763860,LiMn2OF3,mp-764788,3.0508017200000004,mp-763860_Li,141.20036548184228,490.4363095186316,430.7743178766331,1496.2239366298938,0.1208788203156976
83,Mn2O3F,mp-767610,LiMn2O3F,mp-767131,4.028872154999993,mp-767131_Li,145.80786060964505,565.2682704692979,587.4412295903193,2277.3935949987595,0.0357048999508768
84,Mn5O9F,mp-766870,Li4Mn5O9F,mp-766866,3.36632404,mp-766866_Li,283.6806651424687,1128.884442832214,915.9327935658008,3644.881052492601,0.0762146275470325
85,Mn7(OF3)3,mp-861565,LiMn7(OF3)3,mp-764403,3.290895600000004,mp-764403_Li,43.9015072183094,168.65031353466543,144.47527693810278,555.0105747498515,0.0133015231038762
86,Mn5O3F5,mp-767239,LiMn5O3F5,mp-763431,2.721643990000009,mp-763431_Li,63.11853045651941,239.01828290990787,171.78616907461856,650.5226731818726,0.0304259152296506
87,Mn5O7F,mp-766932,LiMn5O7F,mp-767067,3.742384570000004,mp-766932_Li,64.95353782040536,275.70409089405786,243.0811177059967,1031.7907356478006,0.0259560110791419
